v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters
,,,,,,,,,,,,,,,,,,,,1,,Contato,1,
,,,,,,,,,,,,,,,,,,,,2,1,Canais de atendimento,1,
,Abrir página no Facebook pela seção de contato,Validar segundo canal social para dúvidas e relacionamento com a marca.,Seção de contato acessível.,,redes-sociais,medium,,,,,,,,classic,1. Clicar no botão Facebook na seção de contato,1. A página da empresa no Facebook é aberta para o visitante,,,,2,1,Canais de atendimento,,
,Abrir perfil no Instagram pela seção de contato,Garantir canal alternativo para clientes que preferem rede social visual.,Navegador permite abrir links externos; seção de contato acessível.,,redes-sociais,medium,,,,,,,,classic,1. Clicar no botão Instagram na seção de contato,1. O perfil da empresa no Instagram é aberto em nova aba ou no aplicativo,,,,2,1,Canais de atendimento,,
,Acessar WhatsApp pelo ícone no topo da página,Confirmar atalho permanente para contato rápido em qualquer momento da navegação.,Site aberto em qualquer seção com cabeçalho visível.,,"conversao,regressao",high,,,,,,,,classic,"1. No topo da página, clicar no ícone do WhatsApp",1. O WhatsApp é aberto com possibilidade de iniciar conversa com a empresa,,,,2,1,Canais de atendimento,,
,Iniciar conversa no WhatsApp com mensagem de orçamento,Validar o principal fluxo de conversão para solicitação de orçamento de evento.,Dispositivo com WhatsApp instalado ou WhatsApp Web disponível; seção de contato acessível.,,"happy-path,conversao,regressao",high,,,,,,,,classic,"1. Na seção Entre em Contato, clicar no botão WhatsApp",1. Abre o WhatsApp com conversa para o número da empresa e mensagem inicial solicitando orçamento para evento,,,,2,1,Canais de atendimento,,
,,,,,,,,,,,,,,,,,,,,3,1,Informações adicionais,1,
,Exibir cidade de atendimento,Validar que o visitante identifica a região atendida pela empresa.,Seção de contato acessível.,,informacao,medium,,,,,,,,classic,1. Localizar o bloco Informações Adicionais na seção de contato,"1. O texto Blumenau, Santa Catarina é exibido",,,,3,1,Informações adicionais,,
,Exibir disponibilidade de atendimento,Garantir clareza sobre dias em que a empresa pode ser contatada.,Seção de contato acessível.,,informacao,medium,,,,,,,,classic,1. Ler as informações no bloco Informações Adicionais,1. É exibido Atendimento: Segunda a Segunda,,,,3,1,Informações adicionais,,
,,,,,,,,,,,,,,,,,,,,4,1,Por que nos escolher,1,
,Exibir lista de vantagens comerciais,Validar argumentos de venda exibidos antes do visitante sair do site.,Seção de contato acessível.,,comercial,medium,,,,,,,,classic,1. Localizar o bloco Por que nos escolher?,"1. São exibidos itens sobre experiência, ingredientes, atendimento, preços competitivos e pontualidade garantida",,,,4,1,Por que nos escolher,,
,,,,,,,,,,,,,,,,,,,,5,,Navegação,1,
,,,,,,,,,,,,,,,,,,,,6,5,Menu em dispositivo móvel,1,
,Abrir o menu em tela de celular,Garantir que usuários em celular consigam acessar todas as seções quando o menu principal está recolhido.,Site aberto em celular ou navegador com largura de tela de smartphone.,,"mobile,happy-path",high,,,,,,,,classic,1. Tocar no ícone de menu (três linhas) no topo da página,"1. As opções Início, Serviços, Sobre e Contato ficam visíveis para seleção",,,,6,5,Menu em dispositivo móvel,,
,Fechar o menu após escolher uma seção,Validar que o menu mobile não permanece aberto cobrindo o conteúdo após a navegação.,Site aberto em tela de celular com menu mobile disponível.,,"mobile,usabilidade",medium,,,,,,,,classic,1. Abrir o menu mobile e tocar em Contato,1. O menu fecha e a seção de contato é exibida em tela cheia,,,,6,5,Menu em dispositivo móvel,,
,,,,,,,,,,,,,,,,,,,,7,5,Menu principal,1,
,Acessar a seção Contato pelo menu superior,Validar o caminho principal para o visitante que deseja solicitar orçamento ou tirar dúvidas.,Site aberto na página inicial.,,"happy-path,regressao",high,,,,,,,,classic,1. Clicar em Contato no menu superior,"1. A seção Entre em Contato é exibida com botões de WhatsApp, Instagram e Facebook",,,,7,5,Menu principal,,
